Codes,Prefecture
1000,北海道
1100,北海道
1101,北海道
1102,北海道
1103,北海道
1104,北海道
1105,北海道
1106,北海道
1107,北海道
1108,北海道
1109,北海道
1110,北海道
1202,北海道
1203,北海道
1204,北海道
1205,北海道
1206,北海道
1207,北海道
1208,北海道
1209,北海道
1210,北海道
1211,北海道
1212,北海道
1213,北海道
1214,北海道
1215,北海道
1216,北海道
1217,北海道
1218,北海道
1219,北海道
1220,北海道
1221,北海道
1222,北海道
1223,北海道
1224,北海道
1225,北海道
1226,北海道
1227,北海道
1228,北海道
1229,北海道
1230,北海道
1231,北海道
1233,北海道
1234,北海道
1235,北海道
1236,北海道
1303,北海道
1304,北海道
1305,北海道
1306,北海道
1331,北海道
1332,北海道
1333,北海道
1334,北海道
1335,北海道
1336,北海道
1337,北海道
1343,北海道
1344,北海道
1345,北海道
1346,北海道
1347,北海道
1361,北海道
1362,北海道
1363,北海道
1364,北海道
1365,北海道
1366,北海道
1367,北海道
1368,北海道
1369,北海道
1370,北海道
1371,北海道
1391,北海道
1392,北海道
1393,北海道
1394,北海道
1395,北海道
1396,北海道
1397,北海道
1398,北海道
1399,北海道
1400,北海道
1401,北海道
1402,北海道
1403,北海道
1404,北海道
1405,北海道
1406,北海道
1407,北海道
1408,北海道
1409,北海道
1421,北海道
1422,北海道
1423,北海道
1424,北海道
1425,北海道
1427,北海道
1428,北海道
1429,北海道
1430,北海道
1431,北海道
1432,北海道
1433,北海道
1434,北海道
1436,北海道
1437,北海道
1438,北海道
1439,北海道
1452,北海道
1453,北海道
1454,北海道
1455,北海道
1456,北海道
1457,北海道
1458,北海道
1459,北海道
1460,北海道
1461,北海道
1462,北海道
1463,北海道
1464,北海道
1465,北海道
1466,北海道
1467,北海道
1468,北海道
1469,北海道
1470,北海道
1471,北海道
1472,北海道
1481,北海道
1482,北海道
1483,北海道
1484,北海道
1485,北海道
1486,北海道
1487,北海道
1488,北海道
1511,北海道
1512,北海道
1513,北海道
1514,北海道
1515,北海道
1516,北海道
1517,北海道
1518,北海道
1519,北海道
1520,北海道
1541,北海道
1542,北海道
1543,北海道
1544,北海道
1545,北海道
1546,北海道
1547,北海道
1548,北海道
1549,北海道
1550,北海道
1551,北海道
1552,北海道
1553,北海道
1554,北海道
1555,北海道
1556,北海道
1557,北海道
1558,北海道
1559,北海道
1560,北海道
1561,北海道
1562,北海道
1563,北海道
1564,北海道
1571,北海道
1572,北海道
1573,北海道
1574,北海道
1575,北海道
1578,北海道
1579,北海道
1580,北海道
1581,北海道
1582,北海道
1583,北海道
1584,北海道
1585,北海道
1586,北海道
1601,北海道
1602,北海道
1603,北海道
1604,北海道
1605,北海道
1606,北海道
1607,北海道
1608,北海道
1609,北海道
1610,北海道
1631,北海道
1632,北海道
1633,北海道
1634,北海道
1635,北海道
1636,北海道
1637,北海道
1638,北海道
1639,北海道
1640,北海道
1641,北海道
1642,北海道
1643,北海道
1644,北海道
1645,北海道
1646,北海道
1647,北海道
1648,北海道
1649,北海道
1661,北海道
1662,北海道
1663,北海道
1664,北海道
1665,北海道
1666,北海道
1667,北海道
1668,北海道
1669,北海道
1691,北海道
1692,北海道
1693,北海道
1694,北海道
1695,北海道
1696,北海道
1697,北海道
1698,北海道
1699,北海道
1700,北海道
2000,青森県
2201,青森県
2202,青森県
2203,青森県
2204,青森県
2205,青森県
2206,青森県
2207,青森県
2208,青森県
2209,青森県
2210,青森県
2301,青森県
2303,青森県
2304,青森県
2307,青森県
2321,青森県
2323,青森県
2341,青森県
2342,青森県
2343,青森県
2361,青森県
2362,青森県
2363,青森県
2364,青森県
2365,青森県
2367,青森県
2368,青森県
2381,青森県
2384,青森県
2387,青森県
2401,青森県
2402,青森県
2403,青森県
2405,青森県
2406,青森県
2408,青森県
2410,青森県
2411,青森県
2412,青森県
2423,青森県
2424,青森県
2425,青森県
2426,青森県
2441,青森県
2442,青森県
2443,青森県
2444,青森県
2445,青森県
2446,青森県
2447,青森県
2450,青森県
3000,岩手県
3201,岩手県
3202,岩手県
3203,岩手県
3204,岩手県
3205,岩手県
3206,岩手県
3207,岩手県
3208,岩手県
3209,岩手県
3210,岩手県
3211,岩手県
3212,岩手県
3213,岩手県
3214,岩手県
3215,岩手県
3216,岩手県
3301,岩手県
3302,岩手県
3303,岩手県
3304,岩手県
3305,岩手県
3306,岩手県
3307,岩手県
3308,岩手県
3321,岩手県
3322,岩手県
3341,岩手県
3342,岩手県
3361,岩手県
3363,岩手県
3365,岩手県
3366,岩手県
3381,岩手県
3382,岩手県
3383,岩手県
3384,岩手県
3401,岩手県
3402,岩手県
3421,岩手県
3422,岩手県
3423,岩手県
3424,岩手県
3425,岩手県
3426,岩手県
3441,岩手県
3461,岩手県
3462,岩手県
3481,岩手県
3482,岩手県
3483,岩手県
3484,岩手県
3485,岩手県
3486,岩手県
3487,岩手県
3501,岩手県
3502,岩手県
3503,岩手県
3504,岩手県
3505,岩手県
3506,岩手県
3507,岩手県
3521,岩手県
3524,岩手県
4000,宮城県
4100,宮城県
4101,宮城県
4102,宮城県
4103,宮城県
4104,宮城県
4105,宮城県
4202,宮城県
4203,宮城県
4204,宮城県
4205,宮城県
4206,宮城県
4207,宮城県
4208,宮城県
4209,宮城県
4211,宮城県
4212,宮城県
4213,宮城県
4214,宮城県
4215,宮城県
4216,宮城県
4301,宮城県
4302,宮城県
4321,宮城県
4322,宮城県
4323,宮城県
4324,宮城県
4341,宮城県
4361,宮城県
4362,宮城県
4401,宮城県
4404,宮城県
4406,宮城県
4421,宮城県
4422,宮城県
4423,宮城県
4424,宮城県
4444,宮城県
4445,宮城県
4461,宮城県
4462,宮城県
4463,宮城県
4481,宮城県
4482,宮城県
4501,宮城県
4502,宮城県
4503,宮城県
4504,宮城県
4505,宮城県
4521,宮城県
4522,宮城県
4523,宮城県
4524,宮城県
4525,宮城県
4526,宮城県
4527,宮城県
4528,宮城県
4529,宮城県
4530,宮城県
4541,宮城県
4542,宮城県
4543,宮城県
4544,宮城県
4545,宮城県
4546,宮城県
4547,宮城県
4548,宮城県
4561,宮城県
4562,宮城県
4563,宮城県
4564,宮城県
4565,宮城県
4566,宮城県
4567,宮城県
4581,宮城県
4582,宮城県
4601,宮城県
4602,宮城県
4603,宮城県
4604,宮城県
4605,宮城県
4606,宮城県
5000,秋田県
5201,秋田県
5202,秋田県
5203,秋田県
5204,秋田県
5206,秋田県
5207,秋田県
5209,秋田県
5210,秋田県
5211,秋田県
5212,秋田県
5213,秋田県
5214,秋田県
5215,秋田県
5303,秋田県
5322,秋田県
5325,秋田県
5327,秋田県
5341,秋田県
5342,秋田県
5343,秋田県
5344,秋田県
5345,秋田県
5346,秋田県
5347,秋田県
5348,秋田県
5349,秋田県
5361,秋田県
5363,秋田県
5366,秋田県
5368,秋田県
5401,秋田県
5402,秋田県
5403,秋田県
5423,秋田県
5426,秋田県
5430,秋田県
5434,秋田県
5441,秋田県
5442,秋田県
5443,秋田県
5444,秋田県
5445,秋田県
5446,秋田県
5447,秋田県
5463,秋田県
5464,秋田県
6000,山形県
6201,山形県
6202,山形県
6203,山形県
6204,山形県
6205,山形県
6206,山形県
6207,山形県
6208,山形県
6209,山形県
6210,山形県
6211,山形県
6212,山形県
6213,山形県
6301,山形県
6302,山形県
6321,山形県
6322,山形県
6323,山形県
6324,山形県
6341,山形県
6361,山形県
6362,山形県
6363,山形県
6364,山形県
6365,山形県
6366,山形県
6367,山形県
6381,山形県
6382,山形県
6401,山形県
6402,山形県
6403,山形県
6421,山形県
6422,山形県
6423,山形県
6424,山形県
6425,山形県
6426,山形県
6427,山形県
6428,山形県
6441,山形県
6461,山形県
6462,山形県
6463,山形県
6464,山形県
7000,福島県
7201,福島県
7202,福島県
7203,福島県
7204,福島県
7205,福島県
7206,福島県
7207,福島県
7208,福島県
7209,福島県
7210,福島県
7211,福島県
7212,福島県
7213,福島県
7214,福島県
7301,福島県
7302,福島県
7303,福島県
7304,福島県
7305,福島県
7306,福島県
7307,福島県
7308,福島県
7309,福島県
7321,福島県
7322,福島県
7323,福島県
7324,福島県
7325,福島県
7326,福島県
7341,福島県
7342,福島県
7343,福島県
7344,福島県
7361,福島県
7362,福島県
7363,福島県
7364,福島県
7365,福島県
7366,福島県
7367,福島県
7368,福島県
7401,福島県
7402,福島県
7403,福島県
7404,福島県
7405,福島県
7406,福島県
7407,福島県
7408,福島県
7421,福島県
7422,福島県
7423,福島県
7424,福島県
7441,福島県
7442,福島県
7443,福島県
7444,福島県
7445,福島県
7446,福島県
7447,福島県
7461,福島県
7462,福島県
7463,福島県
7464,福島県
7465,福島県
7466,福島県
7467,福島県
7481,福島県
7482,福島県
7483,福島県
7484,福島県
7501,福島県
7502,福島県
7503,福島県
7504,福島県
7505,福島県
7521,福島県
7522,福島県
7541,福島県
7542,福島県
7543,福島県
7544,福島県
7545,福島県
7546,福島県
7547,福島県
7548,福島県
7561,福島県
7562,福島県
7563,福島県
7564,福島県
8000,茨城県
8201,茨城県
8202,茨城県
8203,茨城県
8204,茨城県
8205,茨城県
8207,茨城県
8208,茨城県
8210,茨城県
8211,茨城県
8211,茨城県
8212,茨城県
8214,茨城県
8215,茨城県
8216,茨城県
8217,茨城県
8219,茨城県
8220,茨城県
8221,茨城県
8222,茨城県
8223,茨城県
8224,茨城県
8225,茨城県
8226,茨城県
8227,茨城県
8228,茨城県
8229,茨城県
8230,茨城県
8231,茨城県
8232,茨城県
8233,茨城県
8234,茨城県
8235,茨城県
8236,茨城県
8302,茨城県
8303,茨城県
8304,茨城県
8309,茨城県
8310,茨城県
8321,茨城県
8322,茨城県
8324,茨城県
8341,茨城県
8364,茨城県
8401,茨城県
8402,茨城県
8403,茨城県
8406,茨城県
8407,茨城県
8421,茨城県
8424,茨城県
8425,茨城県
8442,茨城県
8443,茨城県
8447,茨城県
8462,茨城県
8463,茨城県
8465,茨城県
8482,茨城県
8483,茨城県
8503,茨城県
8504,茨城県
8521,茨城県
8522,茨城県
8523,茨城県
8541,茨城県
8542,茨城県
8543,茨城県
8546,茨城県
8564,茨城県
9000,栃木県
9201,栃木県
9202,栃木県
9203,栃木県
9204,栃木県
9205,栃木県
9206,栃木県
9207,栃木県
9208,栃木県
9209,栃木県
9210,栃木県
9211,栃木県
9213,栃木県
9214,栃木県
9215,栃木県
9216,栃木県
9301,栃木県
9302,栃木県
9303,栃木県
9304,栃木県
9321,栃木県
9322,栃木県
9323,栃木県
9341,栃木県
9342,栃木県
9343,栃木県
9344,栃木県
9345,栃木県
9361,栃木県
9362,栃木県
9363,栃木県
9364,栃木県
9365,栃木県
9366,栃木県
9367,栃木県
9368,栃木県
9382,栃木県
9383,栃木県
9384,栃木県
9386,栃木県
9401,栃木県
9402,栃木県
9403,栃木県
9404,栃木県
9405,栃木県
9406,栃木県
9407,栃木県
9411,栃木県
10000,群馬県
10201,群馬県
10202,群馬県
10203,群馬県
10204,群馬県
10205,群馬県
10206,群馬県
10207,群馬県
10208,群馬県
10209,群馬県
10210,群馬県
10211,群馬県
10212,群馬県
10301,群馬県
10302,群馬県
10303,群馬県
10307,群馬県
10308,群馬県
10309,群馬県
10321,群馬県
10322,群馬県
10323,群馬県
10324,群馬県
10341,群馬県
10342,群馬県
10343,群馬県
10344,群馬県
10345,群馬県
10361,群馬県
10362,群馬県
10363,群馬県
10366,群馬県
10367,群馬県
10381,群馬県
10382,群馬県
10383,群馬県
10384,群馬県
10401,群馬県
10421,群馬県
10422,群馬県
10423,群馬県
10424,群馬県
10425,群馬県
10426,群馬県
10427,群馬県
10428,群馬県
10429,群馬県
10443,群馬県
10444,群馬県
10445,群馬県
10446,群馬県
10447,群馬県
10448,群馬県
10449,群馬県
10464,群馬県
10484,群馬県
10501,群馬県
10521,群馬県
10522,群馬県
10523,群馬県
10524,群馬県
10525,群馬県
11000,埼玉県
11100,埼玉県
11101,埼玉県
11102,埼玉県
11103,埼玉県
11104,埼玉県
11105,埼玉県
11106,埼玉県
11107,埼玉県
11108,埼玉県
11109,埼玉県
11110,埼玉県
11201,埼玉県
11202,埼玉県
11203,埼玉県
11206,埼玉県
11207,埼玉県
