PREF,POP
北海道,"5,320"
青森県,"1,278"
岩手県,"1,255"
宮城県,"2,323"
秋田県,996
山形県,"1,102"
福島県,"1,882"
茨城県,"2,892"
栃木県,"1,957"
群馬県,"1,960"
埼玉県,"7,310"
千葉県,"6,246"
東京都,"13,724"
神奈川県,"9,159"
新潟県,"2,267"
富山県,"1,056"
石川県,"1,147"
福井県,779
山梨県,823
長野県,"2,076"
岐阜県,"2,008"
静岡県,"3,675"
愛知県,"7,525"
三重県,"1,800"
滋賀県,"1,413"
京都府,"2,599"
大阪府,"8,823"
兵庫県,"5,503"
奈良県,"1,348"
和歌山県,945
鳥取県,565
島根県,685
岡山県,"1,907"
広島県,"2,829"
山口県,"1,383"
徳島県,743
香川県,967
愛媛県,"1,364"
高知県,714
福岡県,"5,107"
佐賀県,824
長崎県,"1,354"
熊本県,"1,765"
大分県,"1,152"
宮崎県,"1,089"
鹿児島県,"1,626"
沖縄県,"1,443"
