Prefecture_code,Pop,Prefecture_name
1,484,Hokkaido
2,19,Aomori
3,10,Iwate
4,100,Miyagi
5,26,Akita
6,12,Yamagata
7,40,Fukushima
8,216,Ibaraki
9,74,Tochigi
10,69,Gunma
11,434,Saitama
12,612,Chiba
13,2945,Tokyo
14,922,Kanagawa
15,187,Niigata
16,512,Toyama
17,73,Ishikawa
18,59,Fukui
19,34,Yamanashi
20,54,Nagano
21,64,Gifu
22,126,Shizuoka
23,263,Aichi
24,38,Mie
25,34,Shiga
26,221,Kyoto
27,463,Osaka
28,273,Hyogo
29,19,Nara
30,13,Wakayama
31,22,Tottori
32,14,Shimane
33,54,Okayama
34,104,Hiroshima
35,18,Yamaguchi
36,17,Tokushima
37,10,Kagawa
38,16,Ehime
39,4,Kochi
40,219,Fukuoka
41,2,Saga
42,25,Nagasaki
43,15,Kumamoto
44,24,Oita
45,10,Miyazaki
46,8,Kagoshima
47,102,Okinawa
48,56,
