No,Prefecture_Jp,Prefecture_En,ISO
1,北海道,Hokkaido,JP-01
2,青森県,Aomori,JP-02
3,岩手県,Iwate,JP-03
4,宮城県,Miyagi,JP-04
5,秋田県,Akita,JP-05
6,山形県,Yamagata,JP-06
7,福島県,Fukushima,JP-07
8,茨城県,Ibaraki,JP-08
9,栃木県,Tochigi,JP-09
10,群馬県,Gunma,JP-10
11,埼玉県,Saitama,JP-11
12,千葉県,Chiba,JP-12
13,東京都,Tokyo,JP-13
14,神奈川県,Kanagawa,JP-14
15,新潟県,Niigata,JP-15
16,富山県,Toyama,JP-16
17,石川県,Ishikawa,JP-17
18,福井県,Fukui,JP-18
19,山梨県,Yamanashi,JP-19
20,長野県,Nagano,JP-20
21,岐阜県,Gifu,JP-21
22,静岡県,Shizuoka,JP-22
23,愛知県,Aichi,JP-23
24,三重県,Mie,JP-24
25,滋賀県,Shiga,JP-25
26,京都府,Kyoto,JP-26
27,大阪府,Osaka,JP-27
28,兵庫県,Hyogo,JP-28
29,奈良県,Nara,JP-29
30,和歌山県,Wakayama,JP-30
31,鳥取県,Tottori,JP-31
32,島根県,Shimane,JP-32
33,岡山県,Okayama,JP-33
34,広島県,Hiroshima,JP-34
35,山口県,Yamaguchi,JP-35
36,徳島県,Tokushima,JP-36
37,香川県,Kagawa,JP-37
38,愛媛県,Ehime,JP-38
39,高知県,Kochi,JP-39
40,福岡県,Fukuoka,JP-40
41,佐賀県,Saga,JP-41
42,長崎県,Nagasaki,JP-42
43,熊本県,Kumamoto,JP-43
44,大分県,Oita,JP-44
45,宮崎県,Miyazaki,JP-45
46,鹿児島県,Kagoshima,JP-46
47,沖縄県,Okinawa,JP-47
