date, pm25, pm10, o3, no2, so2, co
2021/2/1, 52, 11, 27, 20, 1, 3
2021/2/2, 51, 6, 27, 14, 1, 2
2021/2/3, 38, 8, 29, 16, 1, 2
2021/2/4, 39, 8, 23, 17, 1, 3
2021/2/5, 36, 14, 17, 33, 1, 4
2021/2/6, 48, 12, 39, 13, 2, 3
2021/2/7, 59, 5, 28, 6, 1, 2
2021/2/8, 25, 6, 29, 4, 1, 
2021/2/9, 30, 9, 22, 16, 1, 3
2021/2/10, 33, 11, 38, 11, 1, 3
2021/2/11, 41, 13, 27, 22, 1, 3
2021/2/12, 49, 15, 25, 22, 1, 3
2021/2/13, 55, 15, 33, 15, 1, 3
2021/2/14, 57, 10, 12, 20, 1, 3
2021/2/15, 31, 8, 29, 13, , 2
2021/2/16, 35, 6, 29, 9, , 2
2021/2/17, 40, , 24, 5, , 
2021/2/18, 11, , , , , 
2021/1/4, 35, 10, 14, 22, 1, 3
2021/1/5, 25, 10, 23, 13, 1, 2
2021/1/7, 52, 6, 22, 15, 1, 3
2021/1/8, 23, 5, 27, 12, 1, 2
2021/1/9, 29, 6, 25, 13, , 2
2021/1/10, 27, 5, 21, 12, 1, 2
2021/1/11, 22, 15, 9, 24, , 3
2021/1/12, 46, 11, 13, 28, 1, 4
2021/1/13, 45, 11, 21, 30, 1, 5
2021/1/14, 48, 15, 19, 20, 1, 3
2021/1/15, 47, 21, 28, 15, 1, 2
2021/1/16, 67, 6, 27, 5, , 2
2021/1/17, 29, 9, 13, 23, 1, 3
2021/1/18, 37, 6, 26, 8, 1, 2
2021/1/19, 32, 6, 26, 11, 1, 2
2021/1/20, 27, 25, 13, 32, 1, 4
2021/1/21, 57, 31, 10, 43, 1, 5
2021/1/22, 69, 20, 25, 17, 1, 4
2021/1/23, 55, 7, 24, 6, , 2
2021/1/24, 25, 7, 21, 15, , 2
2021/1/25, 35, 13, 7, 27, 1, 4
2021/1/26, 47, 13, 28, 15, , 3
2021/1/27, 56, 12, 21, 17, , 2
2021/1/28, 38, 10, 27, 13, , 2
2021/1/29, 43, 6, 29, 6, , 2
2021/1/30, 22, 7, 30, 12, 1, 3
2021/1/31, 42, 15, 31, 24, 3, 3
2020/10/1, 33, 13, 35, 15, 2, 2
2020/10/2, 52, 15, 33, 16, 1, 3
2020/10/3, 40, 18, 37, 12, 1, 3
