"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","C:/Program Files/R/R-4.1.2/library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"alabama","alabama","C:/Program Files/R/R-4.1.2/library","2022.4-1",NA,"R (>= 2.10.1), numDeriv",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.3"
"ash","ash","C:/Program Files/R/R-4.1.2/library","1.0-15",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"askpass","askpass","C:/Program Files/R/R-4.1.2/library","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"assertthat","assertthat","C:/Program Files/R/R-4.1.2/library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"AssetAllocation","AssetAllocation","C:/Program Files/R/R-4.1.2/library","1.0.0",NA,"R (>= 2.10)","PerformanceAnalytics, quantmod, RiskPortfolios, xts, zoo,
NMOF, riskParityPortfolio",NA,"knitr, rmarkdown, testthat (>= 3.0.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.2"
"backports","backports","C:/Program Files/R/R-4.1.2/library","1.3.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"baguette","baguette","C:/Program Files/R/R-4.1.2/library","0.1.1",NA,"parsnip (>= 0.1.3.9000)","butcher, C50, dials, dplyr, earth, furrr, generics, hardhat
(>= 0.1.4), magrittr, purrr, rlang, rpart, rsample, tibble,
tidyr, utils, withr",NA,"AmesHousing, covr, modeldata, recipes, rmarkdown, spelling,
testthat, yardstick",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"base","base","C:/Program Files/R/R-4.1.2/library","4.1.2","base",NA,NA,NA,"methods",NA,"Part of R 4.1.2",NA,NA,NA,NA,NA,"4.1.2"
"base64enc","base64enc","C:/Program Files/R/R-4.1.2/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
